player_id,player_name,player_display_name,position,position_group,headshot_url,season,week,season_type,game_id,team,opponent,completions,passing_attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,def_2pt_atts,def_2pt_made,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards,fantasy_points,fantasy_points_ppr,interceptions,two_point,fantasy_points_std,td_points,non_td_fantasy_points,source_season,source_week,offense_snaps,offense_pct,target_share_proxy,carry_share_proxy,fantasy_per_target,fantasy_per_carry,td_rate,red_zone_targets,red_zone_carries,fantasy_points_std_last,fantasy_points_std_roll2,fantasy_points_std_roll3,fantasy_points_std_roll5,fantasy_points_std_ewma,targets_last,targets_roll2,targets_roll3,targets_roll5,targets_ewma,carries_last,carries_roll2,carries_roll3,carries_roll5,carries_ewma,receiving_yards_last,receiving_yards_roll2,receiving_yards_roll3,receiving_yards_roll5,receiving_yards_ewma,rushing_yards_last,rushing_yards_roll2,rushing_yards_roll3,rushing_yards_roll5,rushing_yards_ewma,receptions_last,receptions_roll2,receptions_roll3,receptions_roll5,receptions_ewma,offense_snaps_last,offense_snaps_roll2,offense_snaps_roll3,offense_snaps_roll5,offense_snaps_ewma,offense_pct_last,offense_pct_roll2,offense_pct_roll3,offense_pct_roll5,offense_pct_ewma,td_points_last,td_points_roll2,td_points_roll3,td_points_roll5,td_points_ewma,red_zone_targets_last,red_zone_targets_roll2,red_zone_targets_roll3,red_zone_targets_roll5,red_zone_targets_ewma,red_zone_carries_last,red_zone_carries_roll2,red_zone_carries_roll3,red_zone_carries_roll5,red_zone_carries_ewma,fantasy_points_last,fantasy_points_roll2,fantasy_points_roll3,fantasy_points_roll5,fantasy_points_ewma,fantasy_points_std_momentum,targets_momentum,carries_momentum,offense_pct_momentum,offense_snaps_momentum,red_zone_targets_momentum,red_zone_carries_momentum,opportunity_score,opportunity_momentum,efficiency_score,td_dependency,sustainability_risk,production_momentum,trend_gap,games_played,baseline_projection,volatility,range_low,range_high,confidence,classification,game_total_proxy,team_implied_points_proxy,why,display_name,position_master,team_master,projection,ml_projection,learned_weight_projection,depth_rank,depth_role,depth_note,depth_adjustment,waiver_discovery_score
00-0030565,Geno Smith,Geno Smith,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zppfqqcyjfma14jjif3a",2026,1,REG,2026_01_NYJ_TEN,NYJ,DET,19,24,215,0,0,0,0,0,0,168,82,7,9.754852104458761,12.836020925770635,0,1.2797619047619047,5,5,4,1,6,7,0,1,0,0,-5.256705424049869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,9.299999999999999,9.299999999999999,0,0,9.299999999999999,0.0,9.299999999999999,2026,1,,,,,,1.5499999999999998,0.0,0,0,9.299999999999999,11.219999999999999,14.159999999999998,13.379999999999999,12.001874999999998,0,0.0,0.0,0.0,0.0,6,3.5,2.3333333333333335,2.0,3.1138749999999997,0,0.0,0.0,0.0,0.0,7,4.0,2.6666666666666665,3.0,4.063,0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,3.0,6.0,6.0,4.11675,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.299999999999999,11.219999999999999,14.159999999999998,13.379999999999999,12.001874999999998,-4.32,0.0,3.0,,,0.0,0.0,1.71263125,1.6500000000000001,7.007857062049988,0.34300890485861585,0.2229557881581003,-4.32,5.970000000000001,4.0,13.325624999999999,1.7010372019741367,15.216685788201708,19.129071352742223,61.71263125,Stable,,,"['Limited recent opportunity', 'Opportunity rising faster than production', 'Recent production is declining']",Geno Smith,QB,,17.172878570471966,15.587544,17.172878570471966,1.0,starter,Depth chart: QB1.,,23.822878570471964
00-0040676,Cam Ward,Cam Ward,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/l7switu6stlwd2irm8yo",2026,1,REG,2026_01_NYJ_TEN,TEN,NYG,19,32,140,1,0,3,-13,0,0,190,78,6,-7.351253745532043,0.389746470110757,0,0.7368421052631579,6,0,0,0,4,21,0,0,0,2,2.4989735005656257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,11.700000000000001,11.700000000000001,0,0,13.700000000000001,6.0,7.700000000000001,2026,1,,,,,,3.4250000000000003,0.437956204379562,0,0,13.700000000000001,11.440000000000001,15.306666666666667,16.985,15.2369475,0,0.0,0.0,0.0,0.0,4,3.0,2.6666666666666665,3.0,3.2327500000000002,0,0.0,0.0,0.0,0.0,21,16.0,14.0,12.75,15.031125,0,0.0,0.0,0.0,0.0,,,,,,,,,,,6.0,6.0,8.0,9.0,7.815000000000001,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.700000000000001,11.440000000000001,15.306666666666667,16.985,15.2369475,-11.09,0.0,0.0,,,0.0,0.0,1.7780125000000002,0.0,8.569651506949471,0.5128980066381407,0.3333837043147915,-11.09,11.09,4.0,15.390789153390385,1.863702850855104,16.093016681979694,20.379533238946433,61.7780125,Stable,,,"['Limited recent opportunity', 'Opportunity rising faster than production', 'Recent production is declining']",Cam Ward,QB,,18.236274960463064,18.080322,18.236274960463064,1.0,starter,Depth chart: QB1.,,23.236274960463064
00-0039917,Michael Penix Jr.,Michael Penix Jr.,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mip4kogkqxwkkya6mvmh",2026,-1,REG,2025_11_CAR_ATL,ATL,GB,13,16,175,0,0,0,0,0,0,129,83,8,10.741212317137979,15.59100866317749,0,1.3565891472868217,6,4,4,1,1,9,0,0,0,0,0.9993381411768496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,7.9,7.9,0,0,7.9,0.0,7.9,2025,11,,,,,,7.9,0.0,0,0,7.9,10.440000000000001,16.54,16.54,15.461400000000001,0,0.0,0.0,0.0,0.0,1,1.0,1.3333333333333333,1.3333333333333333,1.3025000000000002,0,0.0,0.0,0.0,0.0,9,4.0,9.0,9.0,9.55,0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,3.0,8.0,8.0,6.930000000000001,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.9,10.440000000000001,16.54,16.54,15.461400000000001,-18.299999999999997,0.0,-1.0,,,0.0,0.0,0.7163750000000002,-0.55,21.58283022160181,0.4482129690713648,0.29133842989638714,-18.299999999999997,17.749999999999996,3.0,15.700339999999999,3.5490099117359475,14.35052221076481,22.51324500775749,59.16736508826405,Stable,,,"['Limited recent opportunity', 'Opportunity rising faster than production', 'Recent production is declining']",Michael Penix Jr.,QB,,18.43188360926115,17.568432,18.43188360926115,1.0,unavailable,Depth chart: QB1. Player is currently O.,,22.88188360926115
00-0035710,Daniel Jones,Daniel Jones,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ohvvctuykzwrpqer7xgl",2026,1,REG,2026_01_BAL_IND,IND,HOU,19,31,166,1,1,2,-17,0,0,201,76,8,-9.612229877368634,-5.060457874988687,0,0.8258706467661692,7,2,2,0,1,4,0,0,0,1,0.24439875199459493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,9.040000000000001,9.040000000000001,0,0,13.040000000000001,6.0,7.040000000000001,2026,1,,,,,,13.040000000000001,0.460122699386503,0,0,13.040000000000001,7.92,11.993333333333334,14.205000000000002,12.7698125,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.5,1.33275,0,0.0,0.0,0.0,0.0,4,4.0,3.0,6.25,5.588125,0,0.0,0.0,0.0,0.0,,,,,,,,,,,6.0,3.0,6.0,7.5,6.33,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.040000000000001,7.92,11.993333333333334,14.205000000000002,12.7698125,-12.570000000000002,0.0,-1.0,,,0.0,0.0,0.7330125000000001,-0.55,17.42100237035521,0.49570030883382193,0.3222052007419843,-12.570000000000002,12.020000000000001,4.0,12.50707021566569,2.153213789912522,14.426819928971874,19.379211645770674,60.57979871008748,Stable,,,"['Limited recent opportunity', 'Opportunity rising faster than production', 'Recent production is declining']",Daniel Jones,QB,,16.903015787371274,16.014257,16.903015787371274,1.0,starter,Depth chart: QB1.,,21.353015787371273
00-0033119,Jacoby Brissett,Jacoby Brissett,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qjswiunczrn5xmdiqhlz",2026,1,REG,2026_01_ARI_LAC,ARI,SF,27,37,277,1,0,1,0,0,0,283,98,15,9.012864685153245,4.605903093879287,0,0.9787985865724381,13,4,2,0,6,14,0,0,0,3,2.0646604372304864,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,16.48,16.48,0,0,18.479999999999997,6.0,12.479999999999997,2026,1,,,,,,3.0799999999999996,0.32467532467532473,0,0,18.479999999999997,21.049999999999997,20.859999999999996,19.299999999999997,19.382192499999995,0,0.0,0.0,0.0,0.0,6,4.5,3.0,2.5,3.608875,0,0.0,0.0,0.0,0.0,14,16.5,11.0,9.5,11.834375,0,0.0,0.0,0.0,0.0,,,,,,,,,,,6.0,9.0,10.0,9.0,8.30175,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.479999999999997,21.049999999999997,20.859999999999996,19.299999999999997,19.382192499999995,3.4999999999999964,0.0,4.0,,,0.0,0.0,1.9848812500000002,2.2,9.764912888365485,0.4283184165052536,0.27840697072841486,3.4999999999999964,-1.2999999999999963,4.0,20.509315499999996,0.9850909354617978,18.760752942808516,21.02646209437065,61.98488125,Momentum confirmed,,,"['Limited recent opportunity', 'Role is trending upward', 'Recent production is improving']",Jacoby Brissett,QB,,19.893607518589583,19.484133,19.893607518589583,1.0,starter,Depth chart: QB1.,,20.793607518589585
00-0034869,Sam Darnold,Sam Darnold,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fyay8vruj0cqmhopufzk",2026,1,REG,2026_01_NE_SEA,SEA,WAS,1,2,13,0,0,1,-5,0,0,15,2,1,-2.0761460470966995,-24.21134114265442,0,0.8666666666666667,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.52,0.52,0,0,0.52,0.0,0.52,2026,1,,,,,,,0.0,0,0,0.52,7.55,15.946666666666667,14.700000000000001,10.1227525,0,0.0,0.0,0.0,0.0,0,1.0,1.6666666666666667,1.25,0.903375,0,0.0,0.0,0.0,0.0,0,2.5,4.666666666666667,3.5,2.462625,0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,3.0,8.0,7.5,4.9335,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.52,7.55,15.946666666666667,14.700000000000001,10.1227525,-14.3,0.0,-0.5,,,0.0,0.0,0.49685625000000005,-0.275,20.373604035372402,0.48736744279779637,0.31678883781856765,-14.3,14.025,4.0,12.094333281071075,5.533017676576871,9.690077392076006,22.416018048202808,56.96383857342313,Stable,,,"['Limited recent opportunity', 'Opportunity rising faster than production', 'Recent production is declining']",Sam Darnold,QB,,16.053047720139407,11.467944,16.053047720139407,1.0,unavailable,Depth chart: QB1. Player is currently O.,,20.778047720139405
00-0023459,Aaron Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",2026,1,REG,2026_01_ATL_PIT,PIT,CIN,24,40,221,1,0,2,-15,0,0,407,121,10,-7.838145270729495,1.234482873130489,0,0.542997542997543,9,5,3,0,3,-3,0,0,0,0,-1.4396816462394781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,12.54,12.54,0,0,14.54,6.0,8.54,2026,1,,,,,,4.846666666666667,0.4126547455295736,0,0,14.54,10.19,13.38,11.864999999999998,11.896094999999999,0,0.0,0.0,0.0,0.0,3,1.5,1.3333333333333333,1.25,1.6524999999999999,0,0.0,0.0,0.0,0.0,-3,-1.5,5.666666666666667,5.75,2.370750000000001,0,0.0,0.0,0.0,0.0,,,,,,,,,,,6.0,3.0,4.0,3.0,3.5167499999999996,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.54,10.19,13.38,11.864999999999998,11.896094999999999,-3.3499999999999996,0.0,0.5,,,0.0,0.0,0.908875,0.275,13.088813093109612,0.29562221888779466,0.19215444227706655,-3.3499999999999996,3.6249999999999996,4.0,12.358657,1.48060271168332,15.038939637164127,18.444325874035762,60.908875,Stable,,,"['Limited recent opportunity', 'Opportunity rising faster than production', 'Recent production is declining']",Aaron Rodgers,QB,,16.741632755599944,15.267452,16.741632755599944,1.0,starter,Depth chart: QB1.,,20.641632755599943
00-0033537,Deshaun Watson,Deshaun Watson,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/otfs2docj6eahaebo5xn",2026,1,REG,2026_01_CLE_JAX,CLE,CAR,16,22,205,1,1,5,-20,1,0,228,95,9,-5.560122194518736,10.32099574804306,0,0.8991228070175439,8,4,3,1,6,38,0,0,0,3,4.208384518802632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,14.0,14.0,0,0,18.0,6.0,12.0,2026,1,,,,,,3.0,0.3333333333333333,0,0,18.0,18.0,18.0,18.0,18.0,0,0.0,0.0,0.0,0.0,6,6.0,6.0,6.0,6.0,0,0.0,0.0,0.0,0.0,38,38.0,38.0,38.0,38.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,3.3000000000000003,0.0,5.454545454545454,0.3333333333333333,0.21666666666666667,,0.0,1.0,18.0,0.0,20.38499082616538,20.38499082616538,,Stable,,,['Projection primarily follows recent baseline'],Deshaun Watson,QB,,20.38499082616538,18.627771,20.38499082616538,1.0,starter,Depth chart: QB1.,,20.38499082616538
00-0039150,Bryce Young,Bryce Young,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vcvhmxvxw2a3armle0af",2026,1,REG,2026_01_CHI_CAR,CAR,CLE,23,37,361,3,1,2,-8,0,0,363,156,17,15.51976329782577,6.634585333592964,0,0.9944903581267218,15,8,5,2,2,10,1,0,0,1,1.6883257256704383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,31.439999999999998,31.439999999999998,0,0,39.44,24.0,15.439999999999998,2026,1,,,,,,19.72,0.6085192697768763,0,0,39.44,32.2,28.98,24.45,28.80069,0,0.0,0.0,0.0,0.0,2,2.5,2.3333333333333335,4.0,3.412125,0,0.0,0.0,0.0,0.0,10,17.0,11.0,15.0,14.796,0,0.0,0.0,0.0,0.0,,,,,,,,,,,24.0,18.0,16.0,13.5,16.40175,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.44,32.2,28.98,24.45,28.80069,15.500000000000004,0.0,-3.0,,,0.0,0.0,1.87666875,-1.6500000000000001,15.346709428608538,0.5694915642646061,0.370169516771994,15.500000000000004,-17.150000000000002,4.0,27.376430871470788,4.984744652655339,16.380549211752474,27.845461912859754,58.89192409734466,TD-dependent production,,,"['Limited recent opportunity', 'Recent production is improving', 'Production has significant TD dependence']",Bryce Young,QB,,22.113005562306114,24.860086,22.113005562306114,1.0,starter,Depth chart: QB1.,,18.463005562306115
00-0029604,Kirk Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/za7cynvpwlsro1tsaijk",2026,1,REG,2026_01_MIA_LV,LV,NO,21,30,160,3,2,0,0,0,0,226,70,10,0.3931946623592959,0.7089010600385994,0,0.7079646017699115,6,1,1,0,5,-6,0,0,0,0,-3.7646021768450737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,13.799999999999999,13.799999999999999,0,0,23.799999999999997,18.0,5.799999999999997,2026,1,,,,,,4.76,0.7563025210084034,0,0,23.799999999999997,18.499999999999996,16.046666666666663,17.93,19.416554999999995,0,0.0,0.0,0.0,0.0,5,4.0,3.0,3.5,3.9605000000000006,0,0.0,0.0,0.0,0.0,-6,-3.0,-1.6666666666666667,-2.0,-3.0629999999999997,0,0.0,0.0,0.0,0.0,,,,,,,,,,,18.0,12.0,10.0,12.0,13.3965,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23.799999999999997,18.499999999999996,16.046666666666663,17.93,19.416554999999995,1.139999999999997,0.0,1.0,,,0.0,0.0,2.1782750000000006,0.55,8.913729900953731,0.6899524658210482,0.44846910278368135,1.139999999999997,-0.589999999999997,4.0,18.063694735024566,2.578157659646731,15.489945211478295,21.419707828665775,61.600117340353265,TD-dependent production,,,"['Limited recent opportunity', 'Production has significant TD dependence']",Kirk Cousins,QB,,18.454826520072036,16.280224,18.454826520072036,1.0,starter,Depth chart: QB1.,,18.41482652007204
